food ID,food,Caloric Value,Fat,Carbohydrates,Sugars,Protein,Dietary Fiber,Cholesterol,Sodium
681,millet raw,756,8.4,145.7,0,22,17,0,0.013
682,popcorn unpopped,106,1.2,20.9,0.3,3.1,3.6,0,0.001
683,whole wheat cooked,150,1,33.2,0.2,4.8,3.9,0,0.6
684,wheat sprouted,214,1.4,45.9,0,8.1,1.2,0,0.026
685,whole wheat dry,96,0.6,21.1,0.1,3.1,2.7,0,0.036
686,caramel popcorn,122,3.6,22.4,15.1,1.1,1.5,1.4,0.069
687,wheat puffed,44,0.1,9.6,0,1.8,0.5,0,0.03
688,roggenmischbrot sonnenblumenkerne aldi,82,3.1,0,0,0,0,0,0
689,wheat germ,112,3,16.1,0,7.2,4.1,0,0.037
690,microwave popcorn,465,26.3,49.8,0.3,7.3,8.7,0,0.6
691,millet cooked,207,1.7,41.2,0.2,6.1,2.3,0,0.046
692,kamut raw,627,4.1,130.9,15.2,27.3,16.9,0,0.012
693,wheat durum,651,4.7,136.6,0,26.3,0,0,0.032
694,sorghum,651,6.3,143.3,0,21.7,12.1,0,0.045
695,white wheat,657,3.3,145.7,0.8,21.7,23.4,0,0.094
696,rye,571,2.8,128.2,1.7,17.5,25.5,0,0.078
697,spelt raw,588,4.2,122.1,11.9,25.4,18.6,0,0.076
698,buckwheat raw,41,0.4,8.6,0,1.6,1.2,0,0.054
699,honey cereali general mills,104,2,3,0,0,0,0,0
700,barley cooked,193,0.7,44.3,0.4,3.5,6,0,0.064
701,oats,39,0.7,6.6,0,1.7,1.1,0,0.074
702,amaranth raw,37,0.7,6.5,0.2,1.4,0.7,0,0.077
703,semolina,601,1.8,121.6,0,21.2,6.5,0,0.097
704,quinoa dry,221,3.6,38.5,0,8.5,4.2,0,0.026
705,wheat shredded,155,1,36.2,0.4,5.2,5.5,0,0.086
706,cattail,5,0,1,0.074,0.2,0.9,0,0.031
707,peanut granola bar,116,5.7,15,8.2,2.4,0.7,0,0.006
708,vanilla bluberry bar kind,49,1.4,0.9,0.096,0,0,0,0
709,coconut granola bar,150,9.1,15.6,9.7,1.5,1.8,0,0.006
710,almond granola bar,119,6.1,14.9,0,1.8,1.2,0,0.067
711,chocolate chip granola bar,105,3.9,17.3,0,1.8,1.1,0,0.062
712,fruit granola bar,82,0.2,18.6,13.3,1.4,1.8,0,0.028
713,granola bar,99,4.2,13.5,6,2.1,1.1,0,0.084
714,peanut bar,209,13.5,19,16.9,6.2,1.6,0,0.059
